ID,DetectorType,Layer,X,Y,Z,Theta,Phi
1, 1, 1, -38.4258, 242.611, 26.5, 84.75, 9
2, 1, 1, -111.516, 218.862, 26.5, 84.75, 27
3, 1, 1, -173.69, 173.69, 26.5, 84.75, 45
4, 1, 1, -218.862, 111.516, 26.5, 84.75, 63
5, 1, 1, -242.611, 38.4258, 26.5, 84.75, 81
6, 1, 1, -242.611, -38.4258, 26.5, 84.75, 99
7, 1, 1, -218.862, -111.516, 26.5, 84.75, 117
8, 1, 1, -173.69, -173.69, 26.5, 84.75, 135
9, 1, 1, -111.516, -218.862, 26.5, 84.75, 153
10, 1, 1, -38.4258, -242.611, 26.5, 84.75, 171
11, 1, 1, 38.4258, -242.611, 26.5, 84.75, 189
12, 1, 1, 111.516, -218.862, 26.5, 84.75, 207
13, 1, 1, 173.69, -173.69, 26.5, 84.75, 225
14, 1, 1, 218.862, -111.516, 26.5, 84.75, 243
15, 1, 1, 242.611, -38.4258, 26.5, 84.75, 261
16, 1, 1, 242.611, 38.4258, 26.5, 84.75, 279
17, 1, 1, 218.862, 111.516, 26.5, 84.75, 297
18, 1, 1, 173.69, 173.69, 26.5, 84.75, 315
19, 1, 1, 111.516, 218.862, 26.5, 84.75, 333
20, 1, 1, 38.4258, 242.611, 26.5, 84.75, 351
21, 1, 2, -39.4863, 249.307, 74.7271, 74.25, 9
22, 1, 2, -114.594, 224.903, 74.7271, 74.25, 27
23, 1, 2, -178.484, 178.484, 74.7271, 74.25, 45
24, 1, 2, -224.903, 114.594, 74.7271, 74.25, 63
25, 1, 2, -249.307, 39.4863, 74.7271, 74.25, 81
26, 1, 2, -249.307, -39.4863, 74.7271, 74.25, 99
27, 1, 2, -224.903, -114.594, 74.7271, 74.25, 117
28, 1, 2, -178.484, -178.484, 74.7271, 74.25, 135
29, 1, 2, -114.594, -224.903, 74.7271, 74.25, 153
30, 1, 2, -39.4863, -249.307, 74.7271, 74.25, 171
31, 1, 2, 39.4863, -249.307, 74.7271, 74.25, 189
32, 1, 2, 114.594, -224.903, 74.7271, 74.25, 207
33, 1, 2, 178.484, -178.484, 74.7271, 74.25, 225
34, 1, 2, 224.903, -114.594, 74.7271, 74.25, 243
35, 1, 2, 249.307, -39.4863, 74.7271, 74.25, 261
36, 1, 2, 249.307, 39.4863, 74.7271, 74.25, 279
37, 1, 2, 224.903, 114.594, 74.7271, 74.25, 297
38, 1, 2, 178.484, 178.484, 74.7271, 74.25, 315
39, 1, 2, 114.594, 224.903, 74.7271, 74.25, 333
40, 1, 2, 39.4863, 249.307, 74.7271, 74.25, 351
41, 2, 3, -39.34, 248.383, 123.2, 64, 9
42, 2, 3, -114.169, 224.069, 123.2, 64, 27
43, 2, 3, -177.823, 177.823, 123.2, 64, 45
44, 2, 3, -224.069, 114.169, 123.2, 64, 63
45, 2, 3, -248.383, 39.34, 123.2, 64, 81
46, 2, 3, -248.383, -39.34, 123.2, 64, 99
47, 2, 3, -224.069, -114.169, 123.2, 64, 117
48, 2, 3, -177.823, -177.823, 123.2, 64, 135
49, 2, 3, -114.169, -224.069, 123.2, 64, 153
50, 2, 3, -39.34, -248.383, 123.2, 64, 171
51, 2, 3, 39.34, -248.383, 123.2, 64, 189
52, 2, 3, 114.169, -224.069, 123.2, 64, 207
53, 2, 3, 177.823, -177.823, 123.2, 64, 225
54, 2, 3, 224.069, -114.169, 123.2, 64, 243
55, 2, 3, 248.383, -39.34, 123.2, 64, 261
56, 2, 3, 248.383, 39.34, 123.2, 64, 279
57, 2, 3, 224.069, 114.169, 123.2, 64, 297
58, 2, 3, 177.823, 177.823, 123.2, 64, 315
59, 2, 3, 114.169, 224.069, 123.2, 64, 333
60, 2, 3, 39.34, 248.383, 123.2, 64, 351
61, 2, 4, -37.4072, 236.18, 168.2, 54, 9
62, 2, 4, -108.56, 213.061, 168.2, 54, 27
63, 2, 4, -169.086, 169.086, 168.2, 54, 45
64, 2, 4, -213.061, 108.56, 168.2, 54, 63
65, 2, 4, -236.18, 37.4072, 168.2, 54, 81
66, 2, 4, -236.18, -37.4072, 168.2, 54, 99
67, 2, 4, -213.061, -108.56, 168.2, 54, 117
68, 2, 4, -169.086, -169.086, 168.2, 54, 135
69, 2, 4, -108.56, -213.061, 168.2, 54, 153
70, 2, 4, -37.4072, -236.18, 168.2, 54, 171
71, 2, 4, 37.4072, -236.18, 168.2, 54, 189
72, 2, 4, 108.56, -213.061, 168.2, 54, 207
73, 2, 4, 169.086, -169.086, 168.2, 54, 225
74, 2, 4, 213.061, -108.56, 168.2, 54, 243
75, 2, 4, 236.18, -37.4072, 168.2, 54, 261
76, 2, 4, 236.18, 37.4072, 168.2, 54, 279
77, 2, 4, 213.061, 108.56, 168.2, 54, 297
78, 2, 4, 169.086, 169.086, 168.2, 54, 315
79, 2, 4, 108.56, 213.061, 168.2, 54, 333
80, 2, 4, 37.4072, 236.18, 168.2, 54, 351
81, 3, 5, -33.7152, 212.87, 211.3, 43.5, 9
82, 3, 5, -97.8454, 192.032, 211.3, 43.5, 27
83, 3, 5, -152.398, 152.398, 211.3, 43.5, 45
84, 3, 5, -192.032, 97.8454, 211.3, 43.5, 63
85, 3, 5, -212.87, 33.7152, 211.3, 43.5, 81
86, 3, 5, -212.87, -33.7152, 211.3, 43.5, 99
87, 3, 5, -192.032, -97.8454, 211.3, 43.5, 117
88, 3, 5, -152.398, -152.398, 211.3, 43.5, 135
89, 3, 5, -97.8454, -192.032, 211.3, 43.5, 153
90, 3, 5, -33.7152, -212.87, 211.3, 43.5, 171
91, 3, 5, 33.7152, -212.87, 211.3, 43.5, 189
92, 3, 5, 97.8454, -192.032, 211.3, 43.5, 207
93, 3, 5, 152.398, -152.398, 211.3, 43.5, 225
94, 3, 5, 192.032, -97.8454, 211.3, 43.5, 243
95, 3, 5, 212.87, -33.7152, 211.3, 43.5, 261
96, 3, 5, 212.87, 33.7152, 211.3, 43.5, 279
97, 3, 5, 192.032, 97.8454, 211.3, 43.5, 297
98, 3, 5, 152.398, 152.398, 211.3, 43.5, 315
99, 3, 5, 97.8454, 192.032, 211.3, 43.5, 333
100, 3, 5, 33.7152, 212.87, 211.3, 43.5, 351
101, 4, 6, -28.1811, 177.929, 250.169, 32.5, 9
102, 4, 6, -81.7848, 160.512, 250.169, 32.5, 27
103, 4, 6, -127.383, 127.383, 250.169, 32.5, 45
104, 4, 6, -160.512, 81.7848, 250.169, 32.5, 63
105, 4, 6, -177.929, 28.1811, 250.169, 32.5, 81
106, 4, 6, -177.929, -28.1811, 250.169, 32.5, 99
107, 4, 6, -160.512, -81.7848, 250.169, 32.5, 117
108, 4, 6, -127.383, -127.383, 250.169, 32.5, 135
109, 4, 6, -81.7848, -160.512, 250.169, 32.5, 153
110, 4, 6, -28.1811, -177.929, 250.169, 32.5, 171
111, 4, 6, 28.1811, -177.929, 250.169, 32.5, 189
112, 4, 6, 81.7848, -160.512, 250.169, 32.5, 207
113, 4, 6, 127.383, -127.383, 250.169, 32.5, 225
114, 4, 6, 160.512, -81.7848, 250.169, 32.5, 243
115, 4, 6, 177.929, -28.1811, 250.169, 32.5, 261
116, 4, 6, 177.929, 28.1811, 250.169, 32.5, 279
117, 4, 6, 160.512, 81.7848, 250.169, 32.5, 297
118, 4, 6, 127.383, 127.383, 250.169, 32.5, 315
119, 4, 6, 81.7848, 160.512, 250.169, 32.5, 333
120, 4, 6, 28.1811, 177.929, 250.169, 32.5, 351
121, 5, 7, -21.1337, 133.433, 278.822, 21.5, 9
122, 5, 7, -61.3324, 120.372, 278.822, 21.5, 27
123, 5, 7, -95.5275, 95.5275, 278.822, 21.5, 45
124, 5, 7, -120.372, 61.3324, 278.822, 21.5, 63
125, 5, 7, -133.433, 21.1337, 278.822, 21.5, 81
126, 5, 7, -133.433, -21.1337, 278.822, 21.5, 99
127, 5, 7, -120.372, -61.3324, 278.822, 21.5, 117
128, 5, 7, -95.5275, -95.5275, 278.822, 21.5, 135
129, 5, 7, -61.3324, -120.372, 278.822, 21.5, 153
130, 5, 7, -21.1337, -133.433, 278.822, 21.5, 171
131, 5, 7, 21.1337, -133.433, 278.822, 21.5, 189
132, 5, 7, 61.3324, -120.372, 278.822, 21.5, 207
133, 5, 7, 95.5275, -95.5275, 278.822, 21.5, 225
134, 5, 7, 120.372, -61.3324, 278.822, 21.5, 243
135, 5, 7, 133.433, -21.1337, 278.822, 21.5, 261
136, 5, 7, 133.433, 21.1337, 278.822, 21.5, 279
137, 5, 7, 120.372, 61.3324, 278.822, 21.5, 297
138, 5, 7, 95.5275, 95.5275, 278.822, 21.5, 315
139, 5, 7, 61.3324, 120.372, 278.822, 21.5, 333
140, 5, 7, 21.1337, 133.433, 278.822, 21.5, 351
